"","num.trades.1","num.trades.2","num.trades.3"
"1",33,30,28
"2",30,31,28
"3",30,31,23
"4",28,33,33
"5",30,30,30
"6",24,14,17
"7",25,25,27
"8",6,1,3
"9",29,26,25
"10",33,29,26
"11",33,27,21
"12",32,26,25
"13",33,28,28
"14",32,30,32
"15",25,13,19
"16",27,23,18
"17",36,21,34
"18",27,27,27
"19",35,29,32
"20",26,24,26
"21",34,29,32
"22",40,38,36
"23",47,35,35
