"","top.profits.1","top.profits.2","top.profits.3"
"1",2032.43792922858,5179.0209865059,963.1492436272
"2",585.434225546,13.3091166905833,2040.47821964355
"3",1338.92040611524,1739.65449146697,-2046.12021998844
"4",-720.402376474145,2660.01466548557,680.599286663604
"5",595.833715908933,4362.08339993754,742.850273791189
"6",-2101.47189510036,-2158.88080737542,-2024.07597953772
"7",-3411.64604699341,6912.14316792362,-38.4021468551455
"8",518.345069064257,3218.42344027307,311.592364560442
"9",1869.61603644883,3082.4071197255,1965.85145423544
"10",-2649.33728087793,5202.65632053314,-809.728679724183
"11",431.9984404876,2253.20304511973,7.10750957307027
"12",1453.1614068729,-5936.13856748446,-1414.24988679759
"13",139.882917468663,1491.42018789496,-815.601879241407
"14",-3201.02121975719,4273.89607493677,1939.0118748975
"15",1474.32219982042,864.309356666507,-545.986324119647
"16",-4.3689674998659,7000.99705043657,-2386.62026243295
"17",-920.224824686262,5266.49087840485,2079.44636373693
"18",596.035923256044,8238.2058094535,2237.12783736334
"19",1065.13406338325,1931.19651642742,686.54747067431
"20",2391.0241224271,-399.691855267079,261.191747472751
"21",1531.40557355329,4317.04782058155,-1151.81704553706
"22",380.878658058298,67.7095356995815,-1129.41798675914
"23",1058.6049110617,5455.95444206609,2175.5352329022
"24",1958.52590193832,4232.43572462646,-1415.3326918509
"25",1176.06995214287,6598.79229352591,-1183.78797571496
"26",1683.94357488872,2918.0694019629,1533.31150543689
"27",1174.64365908028,7895.10075800257,188.363139778152
"28",-1295.481730227,-492.429115309303,570.897165572032
"29",491.962146147898,2780.24268699192,742.568442804841
"30",-1208.30166990728,152.587089802888,1266.34215773349
"31",3001.65551737085,2056.41829649916,1751.58777909092
"32",152.463367951186,4467.93340056148,1695.0159798656
"33",-566.327448339764,7264.60939253117,59.3384481299327
"34",-2454.82656597583,2988.90342849008,82.3568028845784
"35",3804.62157095456,-2930.51413962357,-1496.45381466745
"36",-3536.74915834098,3993.72655386221,454.644508902202
"37",1161.89751950051,8909.93688931528,1921.18558183303
"38",2262.46291976604,7061.81930268254,-441.683820146751
"39",2608.24506557579,1518.22414342028,1698.92958329672
"40",2999.70317523136,16007.9378996956,-511.999147263921
"41",-2005.40963806517,8794.30356858118,2316.9514172487
"42",1876.18824465174,482.13719970957,-1883.36626726535
"43",641.028272647862,6865.57188873536,1523.24620740386
"44",30.7404482246093,1650.43495411972,1318.86573106806
"45",-802.396902238952,4382.10587372109,1185.61595365148
"46",-1961.94909004848,-1238.63013714507,-2.95219926050231
"47",1111.01351204011,3718.24279035806,-204.046284218575
"48",5585.02317099679,6023.04414042738,437.492460747579
"49",-556.55745704033,-9356.55927835643,714.646335792855
"50",2405.27996337242,-4027.58393585648,-1930.65553741774
